nombre_científico;nombre_común
 Crocidura gueldenstaedtii;Musaraña de campo 
 Suncus etruscus;Musgaño enano 
 Sorex minutus;Musaraña enana 
 Sorex araneus;Musaraña bicolor 
 Sorex granarius;Musaraña ibérica 
 Sorex coronatus;Musaraña tricolor 
 Neomys fodiens;Musgaño patiblanco 
 Neomys anomalus;Musgaño de Cabrera 
 Galemys pyrenaicus;Desmán ibérico 
 Talpa europaea;Topo europeo 
 Talpa occidentalis;Topo ibérico 
 Erinaceus europaeus;Erizo común 
 Atelerix algirus;Erizo moruno 
 Myotis mystacinus;Murciélago ratonero bigotudo 
 Myotis alcathoe;Murciélago ratonero bigotudo pequeño 
 Myotis emarginatus;Murciélago ratonero pardo 
 Myotis crypticus;Murciélago ratonero críptico 
 Myotis escalerai;Murciélago ratonero ibérico 
 Myotis bechsteinii;Murciélago ratonero forestal 
 Myotis myotis;Murciélago ratonero grande 
 Myotis blythii;Murciélago ratonero mediano 
 Myotis daubentoni;Murciélago ratonero ribereño 
 Myotis capaccinii;Murciélago ratonero patudo 
 Pipistrellus pipistrellus;Murciélago enano 
 Pipistrellus pygmaeus;Murciélago de Cabrera 
 Pipistrellus nathusii;Murciélago de Nathusius 
 Pipistrellus kuhli;Murciélago de borde claro 
 Pipistrellus maderensis;Murciélago de Madeira 
 Hypsugo savii;Murciélago montañero 
 Nyctalus noctula;Nóctulo mediano 
 Nyctalus leisleri;Nóctulo pequeño 
 Nyctalus lasiopterus;Nóctulo grande 
 Eptesicus serotinus;Murciélago hortelano 
 Eptesicus isabellinus ;Murciélago hortelano meridional 
 Barbastella barbastellus;Murciélago de bosque 
 Plecotus auritus;Orejudo dorado 
 Plecotus austriacus;Orejudo gris 
 Plecotus macrobullaris;Orejudo alpino 
 Plecotus teneriffae;Orejudo canario 
 Vespertilio murinus;Murciélago bicolor 
 Miniopterus schreibersii;Murciélago de cueva 
 Tadarida teniotis;Murciélago rabudo 
 Rhinolophus ferrumequinum;Murciélago grande de herradura 
 Rhinolophus hipposideros;Murciélago pequeño de herradura 
 Rhinolophus euryale;Murciélago mediterráneo de herradura  
 Rhinolophus mehelyi;Murciélago mediano de herradura 
 Microtus arvalis ;Topillo campesino 
 Microtus cabrerae;Topillo de Cabrera
 Microtus agrestis;Topillo agreste 
 Microtus lusitanicus;Topillo lusitano 
 Microtus duodecimcostatus;Topillo mediterráneo 
 Microtus gerbei;Topillo pirenaico 
 Chionomys nivalis;Topillo nival 
 Arvicola sapidus;Rata de agua 
 Myodes glareolus;Topillo rojo 
 Ondatra zibethicus;Rata almizclera 
 Micromys minutus;Ratón espiguero 
 Apodemus flavicollis;Ratón leonado 
 Apodemus sylvaticus;Ratón de campo 
 Mus musculus;Ratón casero 
 Mus spretus;Ratón moruno 
 Rattus norvegicus;Rata parda 
 Rattus rattus;Rata negra 
 Eliomys quercinus;Lirón careto 
 Glis glis;Lirón gris 
 Sciurus vulgaris ;Ardilla roja 
 Atlantoxerus getulus;Ardilla moruna 
 Marmota marmota;Marmota alpina 
 Myocastor coipus;Coipú 
 Lepus europaeus;Liebre europea 
 Lepus castroviejoi;Liebre de piornal 
 Lepus granatensis;Liebre ibérica 
 Oryctolagus cuniculus;Conejo 
 Ursus arctos;Oso pardo 
 Procyon lotor;Mapache 
 Canis lupus;Lobo 
 Vulpes vulpes;Zorro 
 Mustela erminea;Armiño 
 Mustela nivalis;Comadreja 
 Mustela lutreola;Visón europeo 
 Neovison vison;Visón americano 
 Mustela putorius;Turón 
 Martes martes;Marta 
 Martes foina;Garduña 
 Lutra lutra;Nutria 
 Meles meles;Tejón 
 Herpestes ichneumon;Meloncillo 
 Genetta genetta;Jineta 
 Lynx pardinus;Lince ibérico 
 Felis silvestris;Gato montés 
 Monachus monachus;Foca monje 
 Sus scrofa;Jabalí 
 Ovis orientalis;Muflón 
Capra pyrenaica;Cabra montés 
 Rupicapra pyrenaica;Rebeco 
 Ammotragus lervia;Arrui 
 Cervus elaphus;Ciervo 
Dama dama;Gamo 
 Capreolus capreolus;Corzo 
 Balaenoptera edeni;Rorcual tropical 
 Balaenoptera physalus;Rorcual común 
 Balaenoptera musculus;Rorcual azul 
 Balaenoptera borealis;Rorcual boreal 
 Balaenoptera acutorostrata;Rorcual aliblanco 
 Megaptera novaeangliae;Yubarta 
 Eubalaena glacialis;Ballena de los vascos 
 Physeter catodon;Cachalote común 
 Kogia breviceps;Cachalote pigmeo 
 Kogia simus;Cachalote enano 
 Mesoplodon bidens;Ballenato hocicudo de Sowerby 
 Mesoplodon mirus;Ballenato hocicudo de True 
 Mesoplodon grayi;Ballenato hocicudo de Gray 
 Mesoplodon europaeus;Ballenato hocicudo de Gervais 
 Mesoplodon densirostris;Ballenato hocicudo de Blainville 
 Hyperoodon ampullatus;Calderón boreal 
 Ziphius cavirostris;Ballenato de Cuvier 
 Grampus griseus;Calderón gris 
 Pseudorca crassidens;Orca negra 
 Globicephala macrorhynchus;Calderón tropical 
 Globicephala melas;Calderón de aleta larga 
 Orcinus orca;Orca 
 Steno bredanensis;Delfín de dientes rugosos 
 Stenella coeruleoalba;Delfín listado 
 Stenella frontalis;Delfín oceánico 
 Tursiops truncatus;Delfín mular común 
 Delphinus delphis;Delfín común 
 Lagenodelphis hosei;Delfín chato 
 Lagenorhynchus acutus;Delfín atlántico de flancos blancos 
 Lagenorhynchus albirostris;Delfín de hocico blanco 
 Phocoena phocoena;Marsopa 
